program,package_manager
aspell,apt
aspell-en,apt
aspell-pt-br,apt
automake,apt
cmake,apt
file-roller,apt
timeshift,apt
python3-pip,apt
gfortran,apt
gdal-data,apt
libcurl4-openssl-dev,apt
libssl-dev,apt
libclang-dev,apt
libpq5,apt
libxml2-dev,apt
libudunits2-dev,apt
libgdal-dev,apt
libgeos-dev,apt
libproj-dev,apt
libharfbuzz-dev,apt
libfribidi-dev,apt
libgit2-dev,apt
libfreetype6-dev,apt
libpng-dev,apt
libtiff5-dev,apt
libjpeg-dev,apt
dvipng,apt
com.github.muriloventuroso.easyssh,flatpak
com.mattjakeman.extensionmanager,flatpak
com.stremio.stremio,flatpak
com.github.tchx84.flatseal,flatpak
com.tutanota.tutanota,flatpak
eu.ithz.umftpd,flatpak
org.onlyoffice.desktopeditors,flatpak
org.gnome.Boxes
